Text,Subject,Session,COM Port,Lever 1 Schedule,Lever 2 Schedule,Responses on Lever 1,Response rate on Lever 1,Responses on Lever 2,Response rate on Lever 2,Reinforcers on Lever 1,Reinforcer rate on Lever 1,Reinforcers on Lever 2,Reinforcer rate on Lever 2,Total time in minutes
30-01-2024_10-50-36 30-01-2024_11-06-56,R05,1,COM4,VI5,EXT,93,6.48837209302326,0,0,61,4.25581395348837,0,0,14.3333333333333
04-02-2024_11-06-09 04-02-2024_11-59-16,R05,6,COM4,VI45,EXT,684,13.3767926988266,0,0,60,1.17340286831812,0,0,51.1333333333333
