Text,Subject,Session,COM Port,Lever 1 Schedule Component 1,Lever 2 Schedule Component 1,Lever 1 Schedule Component 2,Lever 2 Schedule Component 2,Lever 1 Schedule Component 3,Lever 2 Schedule Component 3,Responses Lever 1 Component 1,Responses Lever 2 Component 1,Responses Lever 1 Component 2,Responses Lever 2 Component 2,Responses Lever 1 Component 3,Responses Lever 2 Component 3,Responses Lever 1 Component 4,Responses Lever 2 Component 4,Response rates Lever 1 Component 1,Response rates Lever 2 Component 1,Response rates Lever 1 Component 2,Response rates Lever 2 Component 2,Response rates Lever 1 Component 3,Response rates Lever 2 Component 3,Response rates Lever 1 Component 4,Response rates Lever 2 Component 4,Reinforcers Lever 1 Component 1,Reinforcers Lever 2 Component 1,Reinforcers Lever 1 Component 2,Reinforcers Lever 2 Component 2,Reinforcers Lever 1 Component 3,Reinforcers Lever 2 Component 3,Reinforcers Lever 1 Component 4,Reinforcers Lever 2 Component 4,Reinforcer rates Lever 1 Component 1,Reinforcer rates Lever 2 Component 1,Reinforcer rates Lever 1 Component 2,Reinforcer rates Lever 2 Component 2,Reinforcer rates Lever 1 Component 3,Reinforcer rates Lever 2 Component 3,Reinforcer rates Lever 1 Component 4,Reinforcer rates Lever 2 Component 4,Total time in minutes
18-03-2024_03-42-57 18-03-2024_04-05-38,R11,C01_s01,COM3,Variable Interval 30,Variable Interval 60,,,,,366,47,0,0,0,0,0,0,18.3,2.35,0,0,0,0,NaN,NaN,36,0,0,0,0,0,0,0,1.8,0,0,0,0,0,NaN,NaN,20.6666666666667
11-03-2024_06-07-00 11-03-2024_07-13-41,R11,C03_S01.3,COM3,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,Variable Interval 30,Fixed Interval 60,318,50,117,179,24,210,0,0,15.9,2.5,5.85,8.95,1.2,10.5,NaN,NaN,32,0,0,22,0,18,0,0,1.6,0,0,1.1,0,0.9,NaN,NaN,61.6666666666667
21-03-2024_04-25-21 21-03-2024_05-29-01,R11,C03_s02,COM3,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,Variable Interval 30,Fixed Interval 60,455,37,46,263,14,281,0,0,22.75,1.85,2.3,13.15,0.7,14.05,NaN,NaN,35,0,0,20,0,19,0,0,1.75,0,0,1,0,0.95,NaN,NaN,61.6666666666667
12-03-2024_04-31-20 12-03-2024_05-35-00,R11,C04_s01,COM3,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,246,50,72,130,13,56,0,0,12.3,2.5,3.6,6.5,0.65,2.8,NaN,NaN,32,0,0,16,0,0,0,0,1.6,0,0,0.8,0,0,NaN,NaN,61.6666666666667
22-03-2024_03-07-16 22-03-2024_04-10-57,R11,C04_S02,COM3,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,461,30,120,207,2,16,0,0,23.05,1.5,6,10.35,0.1,0.8,NaN,NaN,36,0,0,18,0,0,0,0,1.8,0,0,0.9,0,0,NaN,NaN,61.6666666666667
14-03-2024_04-24-04 14-03-2024_05-27-45,R11,C05_s01,COM3,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,Variable Interval 30,Fixed Interval 120,319,32,165,104,59,147,0,0,15.95,1.6,8.25,5.2,2.95,7.35,NaN,NaN,35,0,0,14,0,9,0,0,1.75,0,0,0.7,0,0.45,NaN,NaN,61.6666666666667
15-03-2024_04-47-33 15-03-2024_05-51-14,R11,C06_s01,COM3,Variable Interval 30,Variable Interval 60,Variable Interval 30,Variable Interval 60,Variable Interval 30,Fixed Interval 180,347,30,83,156,15,113,0,0,17.35,1.5,4.15,7.8,0.75,5.65,NaN,NaN,34,0,0,16,0,6,0,0,1.7,0,0,0.8,0,0.3,NaN,NaN,61.6666666666667
